               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087682,            0.027747,                   0,             0.56683,             0.39657,             0.37818,             0.11184,            0.064515,            0.017918,                   0,            0.070011,           0.0033321,           0.0033321
                   1,            0.065682,            0.021865,                   0,             0.68165,             0.49784,             0.52337,             0.18908,            0.058126,            0.016446,                   0,            0.039879,           0.0065334,           0.0065334
                   2,            0.060641,            0.020873,                   0,             0.72636,             0.53829,             0.58386,             0.22867,             0.05486,            0.015698,                   0,           0.0096155,           0.0096028,           0.0096028
                   3,            0.057201,            0.020302,                   0,             0.76356,             0.58934,             0.63675,             0.26583,            0.051648,            0.015034,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.053866,            0.019428,                   0,             0.80241,             0.61515,             0.66877,             0.29229,            0.049749,            0.014664,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.051616,            0.018955,                   0,             0.81844,               0.645,             0.70103,             0.32098,            0.047319,             0.01418,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.050001,            0.018563,                   0,             0.82149,             0.65365,             0.72026,             0.34218,            0.046155,            0.013946,                   0,             0.00901,             0.00901,             0.00901
                   7,              0.0488,            0.018064,                   0,             0.83576,             0.66792,             0.73241,             0.34121,            0.045834,            0.013786,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.047734,            0.018005,                   0,             0.83469,             0.68155,             0.74255,             0.35727,            0.044877,            0.013589,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.046797,            0.017736,                   0,             0.82749,             0.69787,             0.75381,             0.36741,            0.044019,            0.013369,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.045854,            0.017514,                   0,             0.84562,             0.70215,             0.76488,             0.37202,            0.043445,            0.013224,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045209,            0.017345,                   0,             0.84642,             0.72493,             0.77672,             0.38583,            0.042853,            0.013041,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.044597,            0.017155,                   0,             0.85509,             0.72158,             0.78344,             0.39189,            0.042375,            0.012967,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.044006,            0.017018,                   0,              0.8591,             0.72172,             0.78443,             0.39612,            0.041772,            0.012891,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.043468,             0.01688,                   0,             0.85689,             0.73581,             0.79043,             0.40569,            0.041226,            0.012738,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.043174,            0.016696,                   0,             0.85493,             0.73986,             0.79543,             0.41145,            0.041102,            0.012634,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.042564,            0.016577,                   0,             0.86596,             0.73525,             0.80045,              0.4132,             0.04091,            0.012609,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.041903,            0.016542,                   0,              0.8562,             0.74278,             0.80063,             0.41636,            0.040744,            0.012507,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.041724,            0.016284,                   0,             0.86086,             0.74418,             0.80422,             0.42258,            0.040257,            0.012416,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.040995,            0.016201,                   0,               0.866,             0.74464,              0.8064,             0.42392,             0.04017,            0.012373,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.040624,            0.016136,                   0,              0.8696,             0.74557,             0.80822,             0.43026,            0.039573,            0.012308,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.040396,            0.016067,                   0,             0.87535,             0.74725,              0.8145,             0.43659,            0.039427,            0.012201,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.039968,            0.015848,                   0,             0.87194,             0.75125,             0.81251,             0.43532,            0.039437,             0.01224,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.03947,            0.015844,                   0,             0.87798,             0.75003,             0.81526,             0.43924,            0.039181,             0.01219,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.039152,            0.015636,                   0,             0.87934,             0.75729,             0.82233,             0.44081,            0.038984,            0.012112,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.038877,            0.015529,                   0,             0.87687,             0.76357,             0.82493,              0.4487,             0.03856,            0.011985,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.038562,            0.015594,                   0,             0.87894,             0.75753,             0.82226,             0.44627,            0.038628,            0.012029,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.03804,             0.01535,                   0,             0.87495,             0.76677,             0.82488,             0.45138,            0.038217,            0.011969,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.037807,             0.01538,                   0,             0.87735,             0.76984,             0.82636,             0.45146,            0.038201,            0.011985,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.037352,            0.015122,                   0,             0.87463,             0.76782,              0.8265,             0.45173,             0.03816,            0.012004,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.037217,            0.015127,                   0,             0.88058,             0.76663,             0.82998,             0.45448,            0.038024,            0.011961,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.036667,            0.015016,                   0,             0.87639,             0.76928,             0.82876,             0.45599,             0.03786,            0.011935,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.036428,            0.014984,                   0,             0.88524,             0.76845,             0.83132,             0.45883,            0.037707,            0.011884,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.036102,            0.014801,                   0,             0.88482,             0.76936,              0.8312,             0.46098,            0.037573,            0.011857,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.035868,            0.014793,                   0,             0.88379,             0.77138,             0.83167,             0.46268,             0.03756,            0.011839,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.035454,            0.014726,                   0,             0.88714,             0.77291,             0.83246,             0.46398,            0.037466,            0.011807,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.034935,            0.014444,                   0,             0.88659,             0.77425,             0.83295,             0.46513,            0.037357,            0.011804,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.034675,             0.01444,                   0,             0.88442,              0.7771,             0.83349,              0.4652,            0.037309,            0.011796,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.034183,             0.01439,                   0,             0.88256,             0.77793,             0.83448,             0.46637,            0.037312,            0.011796,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.033839,            0.014252,                   0,             0.88205,             0.77612,             0.83321,             0.46698,            0.037245,            0.011786,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.033592,            0.014128,                   0,             0.88231,             0.77906,             0.83478,             0.46909,            0.037167,            0.011775,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.033001,            0.013974,                   0,             0.88571,             0.77779,             0.83566,             0.47049,            0.037124,            0.011766,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.032857,            0.013939,                   0,             0.89026,             0.77742,             0.83636,             0.47038,             0.03708,            0.011766,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.032505,             0.01383,                   0,             0.88255,             0.78087,             0.83567,             0.47136,            0.037035,            0.011767,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.031977,            0.013829,                   0,             0.88053,             0.78044,             0.83409,             0.47155,            0.036986,            0.011769,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.031669,            0.013599,                   0,               0.882,               0.781,             0.83596,              0.4723,            0.036952,            0.011771,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.031258,            0.013494,                   0,              0.8819,             0.78128,             0.83538,              0.4728,            0.036902,             0.01177,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.030955,            0.013398,                   0,             0.88361,             0.78003,             0.83581,             0.47372,            0.036874,            0.011772,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.030586,            0.013359,                   0,             0.88518,             0.78016,             0.83524,             0.47391,            0.036845,            0.011774,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.030188,            0.013203,                   0,             0.88786,             0.77891,             0.83541,             0.47481,            0.036814,            0.011775,                   0,            0.000496,            0.000496,            0.000496
